iter	RMSE
0	12682688.28
1	11852061.32
2	11108998.86
3	10409608.28
4	9767498.324
5	9218684.64
6	8682040.924
7	8256138.391
8	7788189.005
9	7372481.066
10	7011428.529
11	6671128.179
12	6346665.865
13	6104892.447
14	5912021.563
15	5682161.868
16	5481221.981
17	5260374.465
18	5079380.594
19	4918842.245
20	4788266.89
21	4644442.306
22	4506466.968
23	4368527.323
24	4287483.277
25	4175224.538
26	4090133.521
27	4008821.359
28	3911654.355
29	3849829.443
30	3776291.887
31	3707840.215
32	3650263.759
33	3611063.215
34	3555763.213
35	3521399.576
36	3465985.166
37	3409270.016
38	3373801.349
39	3344908.835
40	3296770.341
41	3268303.503
42	3223611.532
43	3200099.887
44	3169973.397
45	3127732.967
46	3102707.138
47	3072751.434
48	3054348.952
49	3032829.682
50	3000832.468
51	2971680.105
52	2937290.919
53	2907942.885
54	2888667.783
55	2875645.549
56	2858309.259
57	2843574.607
58	2832170.436
59	2806970.206
60	2784147.304
61	2759597.754
62	2744895.046
63	2717153.623
64	2700461.845
65	2679050.649
66	2661486.31
67	2644693.554
68	2626364.26
69	2608679.053
70	2585782.062
71	2566232.057
72	2555390.082
73	2535036.462
74	2530384.084
75	2516331.233
76	2503737.95
77	2491929.685
78	2475964.939
79	2468846.196
80	2457602.251
81	2446985.385
82	2428202.81
83	2410843.202
84	2401476.06
85	2390097.133
86	2373713.115
87	2353485.663
88	2348009.378
89	2330534.682
90	2316803.733
91	2300596.414
92	2286576.211
93	2270369.819
94	2256555.691
95	2241086.547
96	2224942.061
97	2210590.71
98	2197897.274
99	2187110.243
100	2174104.033
101	2166672.297
102	2156485.137
103	2138198.048
104	2123435.578
105	2113820.235
106	2103221.132
107	2088390.162
108	2078226.385
109	2060117.15
110	2047734.809
111	2033662.834
112	2022028.145
113	2020247.217
114	2018065.459
115	2012291.965
116	2000999.177
117	1991084.677
118	1986492.739
119	1976218.465
120	1963314.556
121	1955409.551
122	1949591.863
123	1933642.231
124	1919585.738
125	1908941.61
126	1895247.116
127	1889871.568
128	1876933.577
129	1865039.268
130	1855731.82
131	1846557.477
132	1838947.201
133	1828260.51
134	1821995.655
135	1811801.562
136	1800321.323
137	1796264.909
138	1786942.092
139	1778374.72
140	1770448.453
141	1760756.457
142	1750102.187
143	1742176.421
144	1734391.826
145	1726665.309
146	1716863.601
147	1706198.966
148	1705949.411
149	1700210.036
150	1698474.961
151	1698271.549
152	1691690.768
153	1683937.896
154	1676306.739
155	1669381.389
156	1667160.561
157	1663475.377
158	1657432.998
159	1654475.124
160	1648793.993
161	1642347.986
162	1638799.875
163	1634981.756
164	1631873.377
165	1631702.682
166	1626257.191
167	1619680.262
168	1619350.384
169	1613748.662
170	1606741.604
171	1601807.218
172	1596178.65
173	1596020.581
174	1587756.778
175	1582449.945
176	1577028.178
177	1570049.28
178	1563235.638
179	1556300.917
180	1550981.562
181	1546476.184
182	1540277.853
183	1533601.64
184	1529117.097
185	1524965.335
186	1517840.732
187	1516484.712
188	1511947.428
189	1511445.671
190	1510555.519
191	1506599.06
192	1506541.691
193	1502407.673
194	1497340.356
195	1490647.187
196	1484165.157
197	1483946.711
198	1479369.475
199	1474171.581
200	1465594.849
201	1462953.067
202	1457498.919
203	1453021.267
204	1449823.286
205	1443657.85
206	1438557.11
207	1430015.605
208	1427327.641
209	1420468.434
210	1413295.839
211	1410646.602
212	1405196.388
213	1400956.366
214	1395096.478
215	1388474.877
216	1384854.056
217	1383785.371
218	1379138.939
219	1375809.554
220	1371516.91
221	1371034.551
222	1366425.282
223	1362130.999
224	1356498.738
225	1352547.717
226	1348050.255
227	1341775.495
228	1337884.493
229	1334259.179
230	1330634.779
231	1326903.356
232	1322080.433
233	1317983.523
234	1315736.116
235	1311520.162
236	1308565.358
237	1305460.784
238	1302056.378
239	1299594.08
240	1295552.839
241	1291581.424
242	1286658.833
243	1283989.777
244	1279177.016
245	1275907.703
246	1273042.706
247	1270275.019
248	1266255.563
249	1261746.692
250	1257233.615
251	1253615.631
252	1249082.289
253	1244885.533
254	1242623.02
255	1239158.324
256	1236048.437
257	1234430.263
258	1229463.138
259	1225859.045
260	1221683.639
261	1220647.737
262	1216947.564
263	1214053.768
264	1213671.952
265	1209571.281
266	1207360.554
267	1203561.109
268	1200813.507
269	1197379.33
270	1195743.835
271	1191963.341
272	1189014.138
273	1186804.308
274	1183110.893
275	1181859.002
276	1178930.067
277	1176984.195
278	1173006.25
279	1170952.773
280	1168451.772
281	1168256.859
282	1167174.799
283	1162935.46
284	1161870.936
285	1158661.418
286	1156435.548
287	1151828.874
288	1147654.424
