iter	Passed	Remaining
0	3	3222
1	6	3161
2	9	3069
3	12	3005
4	15	3054
5	18	3017
6	21	3047
7	24	3004
8	27	3007
9	30	2989
10	33	2967
11	36	2965
12	39	2962
13	41	2952
14	44	2946
15	47	2945
16	50	2947
17	54	2968
18	57	2969
19	60	2970
20	63	2980
21	67	2985
22	70	2974
23	72	2957
24	75	2952
25	78	2946
26	81	2934
27	84	2933
28	87	2930
29	90	2923
30	93	2914
31	96	2911
32	98	2899
33	101	2890
34	104	2891
35	107	2887
36	110	2881
37	113	2871
38	116	2870
39	119	2867
40	122	2862
41	125	2861
42	128	2854
43	131	2849
44	134	2847
45	136	2840
46	139	2837
47	142	2831
48	146	2835
49	148	2830
50	152	2830
51	154	2825
52	157	2820
53	161	2821
54	164	2822
55	166	2803
56	168	2795
57	172	2794
58	175	2791
59	177	2782
60	180	2774
61	183	2768
62	185	2759
63	188	2754
64	191	2754
65	194	2747
66	197	2743
67	199	2739
68	202	2735
69	205	2733
70	208	2730
71	211	2729
72	214	2726
73	217	2723
74	220	2718
75	223	2721
76	226	2718
77	229	2714
78	232	2713
79	235	2712
80	238	2709
81	241	2704
82	244	2700
83	247	2699
84	251	2701
85	254	2701
86	257	2698
87	260	2696
88	263	2692
89	266	2691
90	269	2688
91	271	2684
92	274	2681
93	277	2678
94	280	2673
95	283	2669
96	286	2665
97	289	2661
98	291	2655
99	294	2652
100	297	2648
101	300	2644
102	303	2643
103	306	2642
104	309	2639
105	312	2635
106	315	2633
107	318	2632
108	321	2629
109	325	2629
110	328	2627
111	330	2622
112	333	2618
113	336	2611
114	338	2606
115	341	2601
116	344	2597
117	347	2593
118	349	2587
119	352	2582
120	355	2581
121	358	2579
122	361	2576
123	364	2571
124	366	2567
125	369	2562
126	372	2559
127	375	2558
128	378	2553
129	381	2554
130	384	2553
131	387	2549
132	390	2548
133	393	2545
134	396	2542
135	399	2538
136	402	2537
137	405	2534
138	408	2529
139	411	2526
140	414	2523
141	416	2518
142	419	2514
143	422	2512
144	425	2508
145	428	2506
146	431	2506
147	434	2504
148	437	2500
149	440	2497
150	443	2493
151	446	2492
152	449	2490
153	452	2488
154	456	2486
155	459	2484
156	462	2482
157	465	2479
158	468	2476
159	470	2472
160	474	2470
161	477	2467
162	479	2463
163	482	2459
164	485	2455
165	487	2450
166	490	2446
167	493	2442
168	495	2438
169	498	2435
170	501	2433
171	504	2429
172	507	2426
173	510	2424
174	513	2421
175	517	2420
176	519	2416
177	522	2414
178	526	2413
179	529	2409
180	532	2407
181	535	2404
182	537	2401
183	540	2397
184	543	2394
185	546	2392
186	549	2389
187	552	2386
188	555	2383
189	558	2380
190	561	2378
191	564	2375
192	567	2371
193	569	2367
194	572	2363
195	575	2361
196	578	2358
197	581	2354
198	584	2350
199	586	2346
200	589	2343
201	592	2340
202	595	2339
203	598	2336
204	601	2332
205	604	2329
206	607	2326
207	610	2324
208	613	2321
209	616	2317
210	618	2314
211	621	2311
212	624	2307
213	628	2307
214	631	2304
215	633	2300
216	636	2297
217	639	2294
218	642	2291
219	645	2289
220	649	2287
221	652	2285
222	655	2283
223	658	2281
224	661	2278
225	664	2274
226	667	2272
227	670	2269
228	673	2266
229	676	2264
230	679	2261
231	682	2258
232	685	2255
233	688	2252
234	690	2249
235	693	2245
236	696	2241
237	698	2237
238	701	2234
239	704	2231
240	707	2229
241	710	2226
242	713	2223
243	716	2221
244	719	2217
245	722	2214
246	725	2212
247	728	2209
248	731	2205
249	734	2203
250	737	2201
251	740	2198
252	743	2195
253	746	2192
254	749	2189
255	752	2186
256	755	2183
257	758	2180
258	761	2178
259	764	2175
260	767	2173
261	770	2171
262	773	2167
263	776	2163
264	778	2160
265	781	2157
266	784	2154
267	788	2152
268	791	2149
269	794	2148
270	797	2146
271	800	2143
272	803	2140
273	806	2137
274	809	2134
275	812	2130
276	815	2127
277	817	2124
278	820	2121
279	824	2118
280	826	2115
281	829	2111
282	831	2107
283	834	2104
284	837	2100
285	839	2097
286	843	2094
287	846	2092
288	849	2089
289	852	2086
290	854	2082
291	857	2079
292	860	2077
293	863	2074
294	866	2071
295	870	2069
296	873	2067
297	876	2063
298	879	2060
299	882	2058
300	885	2056
301	888	2053
302	891	2050
303	894	2048
304	897	2045
305	900	2042
306	903	2039
307	906	2036
308	909	2033
309	912	2030
310	915	2027
311	918	2024
312	921	2021
313	924	2018
314	926	2015
315	929	2012
316	932	2009
317	935	2006
318	938	2003
319	941	2000
320	943	1996
321	946	1993
322	949	1990
323	952	1986
324	954	1983
325	958	1981
326	961	1977
327	964	1975
328	967	1973
329	970	1969
330	972	1966
331	975	1962
332	978	1959
333	981	1956
334	983	1952
335	987	1950
336	990	1948
337	993	1945
338	996	1942
339	999	1939
340	1002	1936
341	1004	1933
342	1007	1930
343	1010	1927
344	1013	1924
345	1017	1922
346	1019	1919
347	1022	1916
348	1025	1913
349	1028	1910
350	1031	1907
351	1034	1905
352	1038	1902
353	1040	1899
354	1043	1896
355	1046	1893
356	1049	1891
357	1052	1888
358	1056	1885
359	1058	1882
360	1061	1879
361	1064	1876
362	1067	1873
363	1070	1870
364	1073	1867
365	1076	1864
366	1079	1861
367	1082	1859
368	1085	1856
369	1088	1853
370	1092	1851
371	1094	1848
372	1097	1844
373	1100	1841
374	1103	1838
375	1106	1835
376	1108	1832
377	1111	1829
378	1114	1826
379	1117	1822
380	1119	1819
381	1122	1815
382	1125	1813
383	1128	1809
384	1131	1807
385	1134	1803
386	1137	1801
387	1140	1798
388	1143	1795
389	1146	1793
390	1149	1790
391	1152	1787
392	1155	1784
393	1158	1781
394	1161	1778
395	1164	1776
396	1167	1773
397	1170	1771
398	1173	1768
399	1176	1765
400	1180	1762
401	1182	1759
402	1186	1757
403	1188	1754
404	1191	1751
405	1194	1748
406	1198	1745
407	1201	1742
408	1204	1739
409	1207	1737
410	1210	1734
411	1213	1731
412	1215	1728
413	1218	1724
414	1221	1721
415	1224	1718
416	1227	1716
417	1231	1714
418	1234	1711
419	1237	1708
420	1239	1705
421	1242	1702
422	1246	1699
423	1248	1696
424	1251	1693
425	1254	1690
426	1257	1687
427	1260	1684
428	1263	1681
429	1266	1678
430	1269	1675
431	1272	1672
432	1275	1670
433	1278	1667
434	1281	1664
435	1284	1661
436	1287	1658
437	1289	1654
438	1292	1652
439	1295	1648
440	1298	1645
441	1301	1643
442	1304	1640
443	1307	1637
444	1310	1634
445	1313	1631
446	1315	1628
447	1318	1624
448	1322	1622
449	1324	1619
450	1327	1615
451	1330	1612
452	1333	1610
453	1336	1607
454	1339	1604
455	1342	1601
456	1345	1599
457	1348	1596
458	1351	1593
459	1354	1590
460	1357	1587
461	1361	1584
462	1363	1581
463	1366	1578
464	1370	1576
465	1373	1573
466	1375	1570
467	1379	1567
468	1381	1564
469	1384	1561
470	1387	1558
471	1390	1555
472	1393	1552
473	1396	1549
474	1399	1546
475	1402	1544
476	1406	1542
477	1409	1538
478	1411	1535
479	1414	1532
480	1417	1529
481	1419	1525
482	1422	1523
483	1425	1520
484	1428	1517
485	1431	1514
486	1435	1511
487	1439	1510
488	1442	1507
489	1446	1505
490	1449	1502
491	1452	1499
492	1454	1496
493	1458	1493
494	1460	1490
495	1463	1487
496	1466	1483
497	1469	1480
498	1471	1477
499	1474	1474
500	1478	1472
501	1481	1469
502	1484	1466
503	1486	1463
504	1489	1460
505	1492	1457
506	1495	1454
507	1498	1451
508	1501	1448
509	1504	1445
510	1507	1442
511	1510	1439
512	1513	1436
513	1516	1434
514	1519	1431
515	1522	1428
516	1525	1425
517	1528	1422
518	1531	1419
519	1534	1416
520	1537	1413
521	1540	1410
522	1543	1407
523	1546	1404
524	1549	1401
525	1551	1398
526	1554	1395
527	1557	1392
528	1560	1389
529	1562	1385
530	1566	1383
531	1569	1380
532	1572	1377
533	1575	1374
534	1578	1371
535	1581	1368
536	1584	1366
537	1587	1363
538	1590	1360
539	1593	1357
540	1596	1354
541	1599	1351
542	1602	1348
543	1605	1345
544	1608	1342
545	1612	1340
546	1614	1337
547	1618	1334
548	1620	1331
549	1623	1328
550	1627	1325
551	1630	1323
552	1634	1321
553	1637	1318
554	1640	1315
555	1643	1312
556	1646	1309
557	1649	1306
558	1652	1303
559	1655	1300
560	1658	1297
561	1661	1294
562	1664	1291
563	1667	1288
564	1670	1286
565	1673	1283
566	1676	1280
567	1679	1277
568	1682	1274
569	1685	1271
570	1688	1268
571	1691	1265
572	1695	1263
573	1697	1260
574	1700	1257
575	1703	1254
576	1706	1251
577	1709	1247
578	1711	1244
579	1714	1241
580	1716	1238
581	1719	1235
582	1722	1231
583	1724	1228
584	1727	1225
585	1730	1222
586	1734	1220
587	1737	1217
588	1740	1214
589	1743	1211
590	1745	1208
591	1748	1205
592	1751	1202
593	1754	1199
594	1757	1196
595	1760	1193
596	1763	1190
597	1766	1187
598	1769	1184
599	1772	1181
600	1775	1178
601	1778	1175
602	1781	1172
603	1784	1169
604	1787	1167
605	1790	1164
606	1793	1161
607	1796	1158
608	1799	1155
609	1802	1152
610	1805	1149
611	1809	1146
612	1811	1143
613	1814	1140
614	1817	1137
615	1820	1135
616	1824	1132
617	1827	1129
618	1830	1126
619	1833	1123
620	1835	1120
621	1839	1117
622	1842	1114
623	1845	1111
624	1848	1109
625	1851	1106
626	1854	1103
627	1857	1100
628	1860	1097
629	1862	1094
630	1865	1091
631	1868	1088
632	1871	1085
633	1874	1082
634	1877	1079
635	1880	1076
636	1883	1073
637	1886	1070
638	1889	1067
639	1892	1064
640	1895	1061
641	1898	1058
642	1901	1055
643	1904	1052
644	1907	1049
645	1909	1046
646	1912	1043
647	1915	1040
648	1918	1037
649	1921	1034
650	1924	1031
651	1927	1028
652	1930	1025
653	1933	1023
654	1936	1020
655	1939	1017
656	1942	1014
657	1946	1011
658	1949	1008
659	1951	1005
660	1955	1002
661	1957	999
662	1960	996
663	1963	993
664	1966	990
665	1969	987
666	1971	984
667	1974	981
668	1978	978
669	1980	975
670	1983	972
671	1986	969
672	1989	966
673	1992	963
674	1995	960
675	1997	957
676	2000	954
677	2003	951
678	2007	948
679	2010	945
680	2013	943
681	2016	940
682	2019	937
683	2023	934
684	2026	931
685	2029	928
686	2032	925
687	2034	922
688	2039	920
689	2042	917
690	2045	914
691	2047	911
692	2051	908
693	2053	905
694	2056	902
695	2059	899
696	2062	896
697	2065	893
698	2068	890
699	2071	887
700	2074	884
701	2076	881
702	2079	878
703	2082	875
704	2085	872
705	2088	869
706	2091	866
707	2094	863
708	2097	860
709	2100	857
710	2102	854
711	2105	851
712	2108	848
713	2111	845
714	2114	842
715	2116	839
716	2119	836
717	2122	833
718	2125	830
719	2128	827
720	2132	825
721	2135	822
722	2138	819
723	2141	816
724	2144	813
725	2147	810
726	2150	807
727	2154	804
728	2157	801
729	2160	799
730	2163	796
731	2166	793
732	2169	790
733	2172	787
734	2175	784
735	2178	781
736	2181	778
737	2184	775
738	2186	772
739	2189	769
740	2192	766
741	2195	763
742	2198	760
743	2200	757
744	2204	754
745	2206	751
746	2209	748
747	2212	745
748	2215	742
749	2218	739
750	2221	736
751	2225	733
752	2228	730
753	2230	727
754	2234	724
755	2236	721
756	2239	718
757	2242	716
758	2245	712
759	2248	710
760	2251	707
761	2254	704
762	2256	700
763	2259	697
764	2262	695
765	2265	692
766	2268	689
767	2271	686
768	2273	683
769	2276	680
770	2279	677
771	2282	674
772	2286	671
773	2289	668
774	2291	665
775	2294	662
776	2297	659
777	2300	656
778	2303	653
779	2306	650
780	2309	647
781	2312	644
782	2315	641
783	2317	638
784	2320	635
785	2323	632
786	2326	629
787	2329	626
788	2332	623
789	2334	620
790	2338	617
791	2341	614
792	2344	611
793	2347	608
794	2349	605
795	2352	602
796	2355	600
797	2358	597
798	2361	594
799	2364	591
800	2366	588
801	2369	585
802	2372	582
803	2375	579
804	2378	576
805	2381	573
806	2384	570
807	2387	567
808	2390	564
809	2393	561
810	2396	558
811	2399	555
812	2402	552
813	2405	549
814	2408	546
815	2411	543
816	2413	540
